Movie Name,Summary
22. Riff Raff,A former criminal's ordinary life is turned upside down when his old family shows up for a long-awaited reunion.
23. It's What's Inside,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges."
24. Fight or Flight,A mercenary takes on the job of tracking down a target on a plane but must protect that target when they're surrounded by people trying to kill both of them.
25. Inside Out 2,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced."
26. Mean Girls,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
27. Argylle,A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes that the plot of the new book she's writing starts to mirror real-world events in real time.
28. Red One,"After Santa Claus is kidnapped, the North Pole's Head of Security must team up with a notorious hacker in a globe-trotting, action-packed mission to save Christmas."
29. Despicable Me 4,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run."
30. Bad Boys: Ride or Die,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name."
31. Ghostbusters: Frozen Empire,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age."
32. IF,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.
33. Paddington in Peru,"Paddington returns to Peru to visit his beloved Aunt Lucy, who now resides at the Home for Retired Bears. With the Brown family in tow, a thrilling adventure ensues when a mystery plunges them into an unexpected journey."
34. My Old Ass,"A mushroom trip brings free-spirited Elliott face-to-face with her 39-year-old self. But when Elliott's ""old ass"" delivers warnings to her younger self, Elliott realizes she has to rethink everything about her family, life and love."
35. The Friend,"When a solitary writer adopts and bonds with a Great Dane that belonged to a late friend, she begins to come to terms with her past and her own creative inner life."
36. Miller's Girl,A creative writing assignment yields complex results between a teacher and his talented student.
37. Bob Trevino Likes It,"When lonely 20-something Lily Trevino accidentally befriends a stranger online who shares the same name as her own self-centered father, encouragement and support from this new Bob Trevino could change her life."
38. Snack Shack,"Nebraska City, 1991, two best friends get the chance to run the swimming pool snack shack, that later comes to be the perfect scenario for transgression, fun, personal discovery and romance."
39. Fly Me to the Moon,"Marketing maven Kelly Jones wreaks havoc on NASA launch director Cole Davis's already difficult task. When the White House deems the mission too important to fail, the countdown truly begins."
40. Beverly Hills Cop: Axel F,Axel Foley returns to Beverly Hills after his daughter's life is threatened for a family reunion that includes old pals John Taggart and Billy Rosewood to uncover a conspiracy.
41. Get Away,A family's vacation to a remote getaway takes an unexpected turn when they discover the island they're on is inhabited by a serial killer.
42. Long Distance,"It follows an asteroid miner who, after crash-landing on an alien planet, must make his way across the harsh terrain, running out of oxygen, hunted by strange creatures, to the only other survivor."
43. A Nice Indian Boy,"When Naveen brings his fiancé Jay home to meet his traditional Indian family, they must contend with accepting his white-orphan-artist boyfriend and helping them plan the Indian wedding of their dreams."
44. Kung Fu Panda 4,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm."
45. Upgraded,"Ana, an ambitious intern at an art auction house in New York City, misrepresents herself to a handsome wealthy man as the director. As their romance develops, her deception creates challenges that threaten her career and relationship."
46. Nightbitch,"A woman pauses her career to be a stay-at-home mom, but soon her domesticity takes a surreal turn."
47. A Different Man,"An aspiring actor undergoes a radical medical procedure to drastically transform his appearance, but his new dream face quickly turns into a nightmare."
48. Ricky Stanicky,"When three childhood best friends pull a prank that goes wrong, they invent the imaginary Ricky Stanicky to get them out of trouble. Twenty years later, they still use the nonexistent Ricky as a handy alibi for their immature behavior."
49. A Family Affair,"A surprising romance kicks off comic consequences for a young woman, her mother, and her movie-star boss as they face the complications of love, sex, and identity."
50. The Instigators,Follows two robbers who must go on the run with the help of one of their therapists after a theft doesn't go as planned.
